1	0	11145
2	11145	12664
3	23809	1199
4	25008	5646
5	30654	4149
6	34803	5180
7	39983	18815
8	58798	5519
9	64317	5420
10	69737	17797
11	87534	2068
12	89602	895
13	90497	2428
14	92925	1846
15	94771	2740
16	97511	3316
17	100827	2007
18	102834	2382
19	105216	1669
20	106885	2389
21	109274	1683
22	110957	1674
23	112631	1340
24	113971	5118
25	119089	1526
26	120615	3559
27	124174	2317
28	126491	1306
29	127797	3631
30	131428	2158
31	133586	4700
32	138286	290
33	138576	279
34	138855	290
35	139145	303
36	139448	289
37	139737	307
38	140044	89
39	140133	89
40	140222	4462
41	144684	11831
42	156515	13904
43	170419	3583
44	174002	1706
45	175708	609
46	176317	13924
47	190241	13449
48	203690	7537
49	211227	29569
50	240796	10030
51	250826	18613
52	269439	11785
53	281224	12157
54	293381	9377
55	302758	8846
56	311604	7151
57	318755	13993
58	332748	16552
59	349300	14698
60	363998	14204
61	378202	21573
62	399775	21130
63	420905	15194
64	436099	17984
65	454083	6477
66	460560	14291
67	474851	14163
68	489014	794
69	489808	458
70	490266	302
71	490568	820
72	491388	1408
73	492796	828
74	493624	1483
75	495107	816
76	495923	829
77	496752	1424
78	498176	1432
79	499608	1536
80	501144	1547
81	502691	873
82	503564	1491
83	505055	876
84	505931	1499
85	507430	1402
86	508832	864
87	509696	1427
88	511123	865
89	511988	870
90	512858	1512
91	514370	1510
92	515880	1471
93	517351	814
94	518165	833
95	518998	1429
96	520427	865
97	521292	1425
98	522717	1407
99	524124	1441
100	525565	1424
101	526989	1416
102	528405	817
103	529222	1477
104	530699	1486
105	532185	1360
106	533545	1455
107	535000	1501
108	536501	818
109	537319	1465
110	538784	1687
111	540471	1415
112	541886	1473
113	543359	1443
114	544802	1431
115	546233	1371
116	547604	1378
117	548982	882
118	549864	1516
119	551380	831
120	552211	824
121	553035	850
122	553885	813
123	554698	1535
124	556233	823
125	557056	824
126	557880	1557
127	559437	812
128	560249	1464
129	561713	1453
